Id_pelicula,Puntuacion_imdb,Puntuacion_rotten,Directores,Guionistas,Argumento,Duracion,Nombre_pelicula
tt4799362,7.9,,Robert G. Hoff,Robert G. Hoff,"When three friends decide to take life into their own hands, their ""perfect crime"" quickly falls apart, and two detectives attempt to catch the criminals. All the while a mysterious killer is pursuing what is owed to him.",,The Unraveling
tt3901262,,,,,,,A Shadow Fell
tt9314692,,,,,,,King Me
tt5861858,,,Steven Alexander Russell,Steven Alexander Russell,"A young man has a mental breakdown at his ex-lovers baby shower, which causes a rift in his reality.",,Tastes Like Medicine
tt2395146,6.6,,Eddie Mullins,Eddie Mullins,"Dirty Fred (Justin Rice) and Bruho (Leo Fitzpatrick) are free-wheeling squatters with a taste for off-season vacation homes in the Catskills. Their commitment to the lifestyle is challenged, however, when a runaway teen and an aimless young woman join their ranks.",,Doomsdays
tt8545442,,,Jordan Danger,,"In this Occulus VR film, you get to decide what happens next. You wake up next to your girlfriend on her birthday, but things go downhill when you find out she's cheating on you! Don't worry because your friend is here to help hook you up with Rachel, the sexy and playful girl-next-door type. Have fun as you juggle trying to keep the new girlfriend AND having your ex ... Leer todo",,Stuck in the Middle
tt3123212,,46,Mark Hampton,Mark Hampton,"On the day of his wife's funeral, an old man revisits an emotive place from his childhood and comes face to face with the past.",,A Walk in the Woods
tt2631168,,,,,,,Edna: A Nanny in Hong Kong
tt11078340,,,Mj Dixon,Mj Dixon,"It's out of the frying pan and into the fire for our heroes as they discover the truth behind Project Slasher House and H.E.X.A.G.O.N. where Red makes her last stand against an army of Government ops and NEW deadlier killers, the truth will finally be revealed.",,Slasher House 3
tt13263988,,100,Valerii Mironov,Valerii Mironov,"Two of the best bounty hunters in the Russian Wild West set out in search of a terrible villain, who should already get what he deserves.",,Krasnyy Ded Otmshcheniya
tt1956409,,,,,,,A Hand Puppet's Job
tt27458934,,,Aldis Elwan,Aldis Elwan,"Rika is an 18-years-old student who got raped by a police officer's brother, Dimas. Her mom, and Dimas's family, tried to solve the case by marrying her to the rapist without getting any chance of justice.",,Scapegoat
tt6674088,,,Liz Holland,Liz Holland,"Michelle and Andrew, a late 20's Los Angeles couple, experience the trials of maintaining their relationship while pursuing their separate passions and dreams.",,Blue Dream
tt3975556,4.5,,Carleton Ranney,Destin Douglas,"When a friend's suicide leaves behind a mysterious computer drive, a fringe hacker and an accomplished computer technician come together to decipher the message left in his wake.",100.0,Jackrabbit
tt7754786,,,Charles C. Brooks,Charles C. Brooks,"After his wife's death, a man comes face to face with his inner demons.",,The Man in the Mirror
tt29573299,,85,Abbas Ali Ezzati,Abbas Ali Ezzati,"An Iranian actor/screenwriter, who was dissatisfied with his work under censorship, immigrated to Europe with the hope that in the new country, he should continue his career in freedom and have better opportunities and more success than his country. But, he had no success in working as an actor or screenwriter in the new country and was forced to work as a salesman fo... Leer todo",,Blame
tt27249903,,85,Sanah Tahiliani,Sanah Tahiliani,"How far will we fight for love at first sight? Ever had a crush so intense, you get a bit obsessed? At what point is the sense of right and wrong, completely gone?",,Him
tt2607520,,,Barrett Burgin,Jeremy Ashcraft,"Zachary has been mourning for years over the loss of someone he loved. Try as he might, he cannot let go of the past. When he finally decides to try moving on, he learns that facing his memories may be even more difficult than he imagined.",,Memories
tt3058660,,,,,,,Bananas
tt11306766,,,,,,,Poker Night
tt3492290,7.0,67,Ben Owusu,Bibi Owusu Shadbolt,A pretty African immigrant in the UK falls in love with a recently divorced businessman. Will his past experience and her escalating problems threaten the relationship?,,Afua's Diary
tt3031866,,,,,,,Nervous Attraction
tt8269236,,,,,,,Narendra
tt5715042,,47,Jake Hunsicker,Jake Hunsicker,,,No Strings Attached
tt3543308,,,Rodolphe Ferreira,Rodolphe Ferreira,,,Lola...
tt5860550,7.1,,Eduardo Ortíz,Frankie Bracero,"The film take us in an intimate journey through the life, trials and tribulation of iconic urban movement figure Vico C. From his days as a shy school boy, his self discovery, and the development of his amazing talent, his rapid raise to fame in his native Puerto Rico and later internationally. The darkest moments of the artist's life, including the accident that almo... Leer todo",114.0,Vico C: La Vida Del Filósofo
tt3170428,6.2,,Matteo Bini,Matteo Bini,,,"Io, Arlecchino"
tt29274814,,100,Arbaaz Khan,Saleem Murad,,,Zandan
tt6029778,7.6,100,Dava Whisenant,Ozzy Inguanzo,"A Late Night comedy writer stumbles upon a hilarious, hidden world of corporate entertainment and finds an unexpected connection to his fellow man. Tribeca and WGA Award winner.",87.0,Bathtubs Over Broadway
tt4917660,,88,Simeon Taole,Simeon Taole,Two people on an afternoon date try to make a connection and find their lives forever altered.,,Everything Changes
tt3439212,,,,,,,Henry and Gloria
tt4555154,,,,,,,Silent Code
tt22096758,,,Patricia Pepén,Patricia Pepén,,,Queen de tu corazón
tt2626926,6.5,,Jafar Panahi,Jafar Panahi,"In a secluded house by the sea with the curtains shut, a screenwriter hides from the world with only his dog as company. The tranquility is abruptly broken one night by the arrival of a young woman fleeing from the authorities. Refusing to leave, she takes refuge in the house. But come dawn, another unexpected presence will change everything.",106.0,Pardé
tt7352942,6.5,92,Michael Idov,Michael Idov,"The Humorist is a film about a week in the life of Boris Arkadiev, a fictional Soviet stand-up comedian. Boris is tormented not only by external oppression and censorship but also by his own insecurities that poison all his relationships.",,Yumorist
tt9604058,8.6,,Ceren Sahan,Ceren Sahan,,,Lahza
tt3415998,,6,,,,,"A Punishment To Some, To Some A Gift"
tt31728011,,90,,,,,Mouth
tt32247927,,90,David Suns,Nat Miles,"Two Mormon missionaries find a man collapsed on the ground, and must decide whether to save him or...save him.",,Doors
tt5240372,5.8,,Jae-Young Kim,Park Chan-yeol,"The story is about a female reporter who marries a male celebrity after previously hating him and becoming an anti-fan, the polar opposite of a fan.",,I Married an Anti-Fan
tt11394766,,,Carson Griffin,Carson Griffin,"It is Harry's first night Trick or Treating without his parents, will their Halloween be filled with Tricks? or Treats?.",,Sweet Harry
tt2390528,,95,Kevin Michael Martin,Jack Martin,"The story of a young man returning home after two years. He finds out that coming back to the place he knew so well has changed greatly. Now, with his brother's sickness, he tries to piece his home back together while mending the problems he left unsolved to find his dream along the west coast.",,Reflection
tt4918006,,,,,,,On the Run
tt7573274,,,,,,,Inside We Are All Pink
tt2904472,5.2,,,,,,Afterparty
tt8561086,8.0,100,M. Padmakumar,Shahi Kabir,"The story develops through the life of four retired policemen. It has the tone of a thriller investigation. An issue affecting the life of Joseph, the central character, and his family is being investigated.",138.0,Joseph
tt6114010,,,Hüseyin Urçuk,Hüseyin Urçuk,"The short film 'Entropy' plays out in a sterile white office environment, where a suited man orchestrates the systematic and symbolic relationship between the objects on his desk. This meticulously controlled system, however, is thrown out of balance by an unanticipated complication, much to the frustration of the suited man determined to keep the system in motion.",,Entropy
tt6864586,,,Javiera Fombona,Lara McKinnon,She has never had an orgasm and hopes tonight to be the night.,,Alicia
tt6250952,5.8,,Aline Bender,Elena Hell,"It's Rikes first day in a women's prison. When she discovers that her cellmate was abused, she decides to get help. What she doesn't know: she called the wrong guard.",,Resolut
tt3650008,,,,,,,The Bear Man
tt4942210,,,,,,,Polish Hope
tt4175660,,,,,,,The Hunted: Storm
tt31778427,,,James Challis,Nikko Harris,,,The Last Stand
tt3145882,,,,,,,The Greenway Choir
tt1956417,,,Amir Masud,Amir Masud,A story about a mentally unbalanced girl that acquires superpowers and struggles between her need for the powers and the unintended harm they cause.,,Affliction
tt8018696,,40,Mickael Figueroa,Ysmarie Laureano,A zombie and a girl have a blind date.,,Muero por ti
tt11023700,6.3,92,Corey Shurge,Corey Shurge,Two strangers meet in a motel room where everything is not as it seems.,,Lughead
tt4185566,5.5,67,Carson Mell,Carson Mell,"When ghosts invade their vacation home, a successful artist and his family hire an exorcist who may be more frightening than the spirits he's been hired to destroy.",90.0,Another Evil
tt2160137,7.3,,Michael Wade Johnson,Michael Wade Johnson,"Follow Blake, Taco, Melia, and Rachel in this drama about the evolution of human nature and the ability to adapt.",,Creature of Habit
tt1776160,9.3,,Tosin Coker,Tosin Coker,A financially oppressed single mother unexpectedly gets an opportunity to fulfill her shelved dreams of singing and financial independence through an unexpected series of events.,,Doorways
tt2058676,9.2,,Jan Braband,Sascha Zimmermann,"While searching for some balance in his life, wealthy law graduate Andy Hanna enrolls in a high potential developing program with the London Police. Soon he has to learn that the cold case he is confronted with is far from being cold.",86.0,Profile of Fear
tt26673463,,68,Shari River,Shari River,"The 22-year-old art student and poet Rio struggles with his bipolar disorder. In the wake of a manic episode, he slowly starts to deteriorate and begins to crave his final epilogue.",,Het Licht is al Uit
tt2314190,,,Nicholas Goulden,Nicholas Goulden,"In The Tyrant's Cup we see six of the world's greatest tyrants competing for the Tyrant Of The Year Award. The Triple I - The Institute for International Ignominy - bring exclusive coverage of this momentous sporting contest. From the studio in their giant blimp, Rex Lexington and Tony Balls, the hottest names in sports commentary, take us through the sizzling and dea... Leer todo",,The Tyrant's Cup
tt16023274,,,Stephen Ohl,Stephen Ohl,A couple struggles to survive in a post-apocalyptic world.,,What Happened
tt4363440,,,Jared M. Gordon,Claudette Dawes,"David Gallagher runs a shady black-belt-in-an-hour karate studio out of his basement. He also embezzles money from three vitriolic supremacist groups. When they grow wise to his scheme, they pay him a visit. He must protect those he cares about, but mostly himself, from their machinations. Hilarity ensues.",,Below the Belt
tt28623621,,,Oscar W. Fitchett,Oscar W. Fitchett,A chase commences after a chav steals the wallet of a gentleman.,,The Mugging
tt2290753,,84,,,,,The Social Addicts
tt5874150,,,Shalom Shlush,Michal Meir Dviri,"Noa, is greatly bored by her unfulfilling life and is desperate for a change. Together with Shir ,her best friend. they venture to the nearest forest in order to live in the woods and escape the dreary daily routine. Noa and Shir experiences varied adventures, Noa is confident that she is in charge, but her friendship with Shir is put to the test by a stranger who thr... Leer todo",,Easygoing
tt29520888,,,Charlie Bush,Shane Lavner,A first date takes a turn for the worse after one man's fortune cookie gives odd advice.,,Fortune's Last Laugh
tt22794560,,43,Kat Rohrer,Kat Rohrer,Friends Liz and Rachel run into each other in their hometown coffee shop. Having been out of touch for years their meeting catches them of guard and soon turns emotional as old wounds are ripped open and desires re-surface.,,Roads Not Taken
tt4581632,6.8,,Nacho Sesma,Nacho Sesma,Enzo is employed in a neighborhood garage that borrows a luxurious car for a while and convinces his friend Richard to accompany him. Its owner is a cruel mafioso who will make them live a nightmare night to these guys who just want to have fun.,85.0,Noche de perros
tt3614170,,83,,,,,The Feline Feeling
tt13534104,6.6,,Zhou Zhong,Amy Haoyu Chen,"Magic Knife disciple YaQing involved in the conspiracy of the ""snake man"" and forced to flee to meet two friends.",,The Blade of Wind
tt29533775,,78,Brett Caron,Brett Caron,,,Seasoned Professionals
tt14261912,,,Scott Rivers,Scott Rivers,Mugsey along with Chelsea and Danielle have a catch up.,,Mugsey Exeter Nations
tt6923872,,,,,,,Plausible Audio
tt0473075,6.6,36,Mike Newell,Boaz Yakin,"Un joven príncipe y una princesa fugitivos deben detener a un villano que, sin saberlo, amenaza con destruir el mundo con una daga especial que permite que la arena mágica de su interior invierta el tiempo.",116.0,Prince of Persia: The Sands of Time
tt1539018,,,David Cormican,Gordon Pengilly,Weaves the tale of paroled prisoner Clayton Sykora's first day as a free man; it is a story of longing to belong while knowing you're not welcome to stay.,,Seeing in the Dark
tt28254804,,,Matthew Tucker,Matthew Tucker,"After losing his wife and daughter to the murder of an infamous crime lord, Brian's world crumbles. Consumed by grief and a burning desire for revenge, he plots his payback.",,The Release
tt2961096,,25,,,,,Jackie
tt2152849,6.5,,,,,,Sink Hole
tt5336762,,,Karen Slade,Karen Slade,"In a post crop-failure Apocalypse, a young couple seek an illegal river crossing. Without any form of payment, what the young woman offers proves to be too much.",,The Failure
tt7947306,,,Ariel Orama López,Elvira Oquendo,,,Esteban
tt14812518,,85,Attila Sebesy,Michael Chin,,,Headshots
tt8169338,,89,Christian Meola,Christian Meola,"Blaine moves to LA by himself and meets a group in a DIY music scene. When they learn about his dark past, Blaine's new friends are uncertain whether to keep him around or distance themselves.",,Wild Nights
tt5822564,5.6,89,Andrea Berloff,Andrea Berloff,Las mujeres de los gánsteres neoyorquinos en el Hell's Kitchen de los 70 prosiguen con los negocios de sus maridos tras su encarcelamiento.,102.0,The Kitchen
tt4844346,6.3,,Nate Wilson,Nate Wilson,Platonic room-mates Joseph and Ellie try to 'keep it casual' when they find themselves manipulated by an otherworldly force to begin having sex with each other.,,Fuck Buddies
tt2386140,5.9,,Athina Rachel Tsangari,Athina Rachel Tsangari,"Seven girls, a mansion perched on a Cycladic rock, a cycle of lessons on discipline, desire and demise-infinitely.",,The Capsule
tt4625960,6.9,20,James Doherty,Theo James Krekis,"Breathe follows Patrick, a bare knuckle fighting Traveller who becomes increasingly concerned with his young son Francie's femininity.",,Breathe
tt4796114,,,Abril Schmucler,Inti Aldasoro,"In his sleep, Diego, a lonely man with a humdrum life in Mexico City, dreams the life of Alejandro Valle",,Soñar el otro
tt3836904,,8,,,,,FreeLance
tt10927314,,,Adrian Luzar,Zbigniew Herbert,"Kasandra is waiting for her mother's death, dreaming about her parents' estate and establishing her own beauty salon. The problem is, her brothers are waiting with her. They also have their own dreams and do not think about sharing the inheritance with their siblings. An innocent chat turns into a fight during which we learn about the grievances that have been hidden ... Leer todo",,The Other Room
tt4027764,8.7,,Dom Portalla,Ken Flott,A man sheds his skin of the default world.,,I Have Decided to Be No One
tt7180712,,,,,,,Hundred Grand-son
tt14039614,,,,,,,What Happens in the Dark
tt2292948,2.6,,Donald Flaherty Fajardo,Donald Flaherty Fajardo,"Abducted without explanation, two men are forced into a daily steel cage brawl testing their will to live.",90.0,Brutal
tt11656540,,,,,,,Days Like This
tt31418794,,90,Iris Baglanea,Iris Baglanea,The end of innocence may have been a moment - in anticipation of birth and imminent death.,,Zange
tt2545406,6.8,,,,,,Ghosting
tt10602752,,,,,,,Open Heart
tt1521753,,100,,,,,Deep Score
tt2946468,5.5,92,Rajan Madhav,Nivas Adithan,"The lives of a dozen characters, both good and bad, are interlinked by one common theme - money.",,Ula
tt9279476,,,Samir Arellano,Samir Arellano,,,Reach Out
tt13821634,,,Axel Casas,Axel Casas,,,GTA Roleplay: Cuarentena Edition
tt20508366,,38,,,,,How He Lived
tt1509203,9.3,,Nathan Affolter,Heath Affolter,A lonely little girl grows a friend in the garden.,,Plant Girl
tt6493422,5.4,,Ed Lejano,Ed Lejano,A CCTV is installed in an apartment and records the tenants' activities and private lives: Loida is a lady guard; Gloria's marriage has recently been annulled; married man Frank actively engages in gay dating sites; Janet and Edward are new tenants hoping to make a fresh start in their marriage.,,Swipe
tt10709404,6.0,,Pandiraj,Pandiraj,A brother who dotes on his sister is forced into a situation where he has to get her married to a ruffian with whom he is at loggerheads. Can their relationship survive?,153.0,Namma Veettu Pillai
tt13460164,,,Just B.K.,Raghu Bhat,"A pair of best friends embarks on a trip to get over their monotonous life. During the trip, they happen to meet a cute and lively lady who turns out to be the dream lady for both the guys and they instantly fall for her.",,Love You 2
tt2616070,6.6,9,,,,,Son los padres
tt5174992,5.9,100,Dustin Cook,Dustin Cook,"After his wife's death, Claude struggles to appear normal while living with a Secret.",,I Hate the Man in My Basement
tt4126498,,,Anna Golin,Anna Golin,"Oscar Osseus isn't your average 8 year old boy; He's a super hero, or at least that's what he believes. In spite of being tormented by kids at school, and questioned by his parents at home, Oscar is constantly practicing his powers and insists upon wearing his SuperKid suit everyday. That is, until Oscar's behavior begins to create problems at school and his principal... Leer todo",,Superkid
tt2372222,6.0,,Sajid Nadiadwala,Vakkantham Vamsi,"Devi Lal Singh, un joven típico con un estándar de vida anormal, trata de buscar el placer en todo lo que hace. Finalmente, se convierte en ladrón y adopta un nuevo nombre, Devil.",146.0,Kick
tt8328262,,100,Brendan Pollecutt,Brendan Pollecutt,,,Puber
tt27599544,,,Caroline Bougit,Caroline Bougit,,,Après Séance
tt7020296,,,Haim Barbi,Haim Barbi,"When Efi Levy, a young Jew student, loses his new bicycles - he takes on an uncompromising journey to get them back. What starts as a naive and hopeful voyage swiftly turns into a tragic event, involving Efi's Moslem neighbor.",,Domino Street
tt5497544,,,Miguel J. Soliman,Miguel J. Soliman,"Ray, a Latino living in New Jersey, dreams of skydiving and of impressing the girl he falls in love with all while dealing with his overweight and a pressuring family.",,Bypass
tt5823826,5.9,,Zuzana Limova,,"It is not that long ago that hospitals were considered lifesaving. In Slovakian delivery rooms, however, the happiest day of one's life can easily turn to horror. In public hospitals, instead of trusting their intuition, women must face strict routine, loneliness and different forms of violence. The film shows the clash between the intuitive, fragile, intimate world o... Leer todo",,Before I met you
tt4885222,,,Katliam Waldron,Jake Rapp,,,It's All Okay Now
tt21353090,,,Kew Lin,Kew Lin,"In an attempt to cycle again, a blind grandma constructs an unusual simulation with common household items.",,Aunt Lotus & Her Dream Bicycle
tt31912312,,90,,,,,Audible Awkwardness
tt13074704,,,Peter Coutavas,Steven Sallie,A superficial man has a life-changing encounter with a woman gifted with an unexpected perspective on life.,,First Glance
tt1704706,,,,,,,Degusta
tt1985122,,,,,,,Isla de Los Ladrones
tt21967960,,,,,,,The Professional Man from Montreal
tt24514174,,,,,,,Le poids du silence
tt1605619,,,,,,,Adventures
tt10229972,,78,Hoang Le,Le Hoang Phi,,,"Tôi Nay, 8 Gio!"
tt2546782,,,,,,,Incubus
tt6441232,,,Roberto Palattella,Roberto Palattella,,,Young Readers
tt1925516,,40,Ken Feinberg,Kelly Nettles,"Panelists include Paul Mooney, Rain Pryor, Bobby Slayton and Jim Jefferies.",,The Green Room
tt27435714,,78,Piotr Krzysztof Kaminski,Dima Makliakow,"Based on true events, a shockingly naturalistic story about a mother and daughter's attempt to escape from Ukrainian territories occupied by Russian army.",,Ballada Kyczejewska
tt1639081,6.0,,Edmund Druilhet,Edmund Druilhet,"Bernie Madoff is at the hub of the biggest conspiracy the world has ever known, according to Mr. X. Dave Edmund, a small Independent film maker puts it all on the line to bring the world the truth.",110.0,Madoff: Made Off with America
tt9024248,,,,,,,The Worst
tt11531324,5.7,,Jegan Rajshekar,Jegan Rajshekar,Dangerous Gangster Marudhu singam(Lal) comes to hunt down a whole family. Adhiyaman (Natty )and his wife Mithra (Ananya) and their son Arjun (Ashwanth) fights back to save their life.Nail biting intense action Drama .,,God Father
tt14050764,,73,,,,,Booking Jane
tt5851960,,,Yves Beneche,C. Wrenn Ball,"Based on true events, the perpetrator of the Charleston Church Massacre and the officer who murdered Walter Scott on video share adjacent jail cells.",,The Cell
tt6614728,,,Stephen Pfeil,Eric Blanka,A man with face-blindness gets lost in New Orleans during Mardi Gras.,,Amongst Strangers
tt15761142,,86,Pryde Pierce,Robert Dobson,,,The Way We Work
tt4396690,,,,,,,Hashi
tt1975152,,67,Jonatan Jiménez,Jonatan Jiménez,Two former friends meet again after many years without seeing... Their lives have changed so much that they barely recognize each other!,,El Astrónomo
tt28798656,,100,Noah Gallant,Noah Gallant,"On a Friday night at a local pub, strangers become friends for one night only, as they bond over hardships, personal problems, and balloons.",,Liquor and Life
tt3924984,,81,,,,,Bury It
tt21272636,,,Yijun Pan,Yijun Pan,"Without an interesting soul, everyone just a pile of meat.",,Plastic Surgery
tt2372864,,75,,,,,Moving On
tt4958972,5.5,,Andrew Hulme,Andrew Hulme,The Devil Outside is a story of everyday madness.,,The Devil Outside
tt3225526,3.3,,Dylan Reibling,Dylan Reibling,"Silent Garden is a silent, black and white melodrama set against the backdrop of a theatre transitioning from live performances to projected film. Lillian, a humble cleaning woman, is torn between her love of Rudolph, a dashing stage actor, and Theodor, a character in a silent film. Both men fight for her attention, but who will win?",,Silent Garden
tt3868646,,,,,,,This Story Will Never End
tt15813022,,,Olivia Fasullo,Olivia Fasullo,,,How to Impeach a President
tt3067218,,43,Keith Munden,Wendy Davis Boyer,A card game that goes horribly wrong when one of its players decides to go on a Beer Run.,,Beer Run
tt21799856,,,Spencer Knott,Spencer Knott,,,Natural Selection
tt22498450,,85,Melissa McGrath,Hananya Allen,,,Screenshot
tt4384994,,,,,,,Et tes soleils
tt20101896,,,Vahn Leinard Pascual,Vahn Leinard Pascual,"Walking in the busy streets of Manila, Atiya a 17-year-old girl, battles her conscience as she faces her biggest dilemma in her whole existence.",,Ang Huling Hantungan
tt5103942,5.0,,J. Laxman Kumar,Lakshmi Devy,A film producer challenges a group of bloggers to come up with a script for a potboiler. Will the bloggers win the challenge?,104.0,Masala Padam
tt3655924,,,P. Babu,Fakruddin Kodungallur,,,Chakkaramampazham
tt3521376,,,,,,,Zui hou de qiang wang
tt2397547,,,,,,,Rob Riggle's Got Your Back
tt19360832,8.3,,Vinay Ratnasiddi,Vinay Ratnasiddi,"Raj Bihari, a greedy guy eyes over treasure in a Hindu temple. But his plans are interrupted by Ravi. Can Ravi successfully stop Raj Bihari ?",,Ganduli
tt21309146,,,Kenneth James,Chris Holt,,,Tri-Bulation
tt6436716,,,Gregory Hernandez,Gregory Hernandez,"Milo Richardson gets a visit from Tom the plush cat one morning. One minute he's just a nice kitty, the next he's attacking Milo outta nowhere. Watch as Tom goes crazy and Milo meets a high kid in this amazing and hilarious movie!.",,Tom
tt2813476,,,,,,,Two Drops
tt8713080,,100,Robert Burson,Robert Burson,"After the death of his wife, Nigel becomes a hermit and reads self help books obsessively. When one of the authors unexpectedly shows up at his house, Nigel begins to rebuild his life.",,Pink Aura
tt4022208,7.8,,Nik Sexton,Edward Riche,"In Newfoundland, an unemployed minibike rider enters a minibike competition to win back his girlfriend.",,How to Be Deadly
tt4263812,,,Jasraj Singh Bhatti,Jaspal Bhatti,"This short film is about a writer who wants to get a story published about an Indian army officer who was killed in the India-Pakistan Kargil war. After the soldier's martyrdom his family receives a gallantry medal, which gets stolen. The officer's father goes to the police station to lodge a complaint, but the police officer harasses the father by not lodging a compl... Leer todo",,The Story of a Story
tt27011154,,99,Zane Pysher,Colin Core,A son and father must face their emotional past when life unexpectedly brings them together once again.,,You Weren't There
tt11504976,6.0,69,Sabrina Blanco,Sabrina Blanco,"Tati is 14 years old and lives in a humble house by the river, with her father, who barely takes care of her. She is an emotionally unstable and rather manly child, who doesn't fit in her environment. Obsessed with being Boat rower, every day she unsuccessfully tries to ride the boat.",,La botera
tt14423288,,,S.S. Sameer,Radhika Apte,,,Kontract
tt7843910,,,,,,,La me
tt10660436,5.4,,Won-jun Ha,J. Cheung,"VJ Kuk-hyun is freelance reporter who has six sense of catching exclusive event. Gi-man is a detective who is living through trauma from losing his partner. With these two together, things are about to get ugly.",,Fist & Furious
tt2538342,,,Aeneas Middleton,Aeneas Middleton,"War is approaching the Ahuva Star System. One distant planet, along with their leaders draw battle against one last surviving warrior.",,Tova: Escape from Respa
tt5874694,,55,José Rodolfo Masiero,José Rodolfo Masiero,,,Todos os meus ídolos estão mortos
tt3547664,,81,,,,,Pierre e a Mochila
tt30831825,,25,Gabriel Hoover,Michael Bayer,"At a high end restaurant, Daniel constantly is trying to prove his worth in the kitchen and manage his antagonistic equal, Adrian. During a dinner rush, head chef Maya calls the two into her office. She informs them that with the news of a second location opening, her current position of head chef will be given to one of them based on the results of a cook-off judged ... Leer todo",,The Cook-Off
tt10948204,,,Matt Fuller,Benedikt Sebastian,Rick is forced to confront his reckless lifestyle when a night of heavy drinking pushes Isabella too far.,,Last Round
tt13070608,,,,,,,Do-Gooders
tt10651232,2.8,92,Sanjay Krishna,,"Army man Surya(Nandamuri Tarakaratna) extorts money from deceitful bigshots and sets up an educational trust that provides free education for poor children. He gets murdered by his enemy Rudraraju(Vinod Kumar). Deva, brother of Surya, somehow manages to continue his brother's mission wherein he gets a face-off with Rudraraju. Would Deva face the same fate as Surya or ... Leer todo",,Kakatheeyudu
tt16518144,,85,Shruti Tewari,Shruti Tewari,"When a distraught teen encounters a grieving mother at the train tracks in Silicon Valley, he must choose between his conviction and empathy before time runs out.",,Mum
tt11230766,,28,Jaclene Sini,Jaclene Sini,,,Crucifaxe II: The Immaculate Deception
tt3922270,7.5,,Alan Minas,Alan Minas,"THE DIONTE FAMILY is a lyrical family drama, infused with magic realism, about a father and the two sons he is bringing up alone. It depicts a striking part of the Brazilian countryside, rarely seen in cinema and tells a universally engaging tale about first love, loss and personal transformation.",,The Dionti Family
tt1776841,,,,,,,Bored
tt2150542,,,,,,,Chess 4 Life
tt12637928,,,Kirsten Sprick,Rudy Redl,There are so many ways to make a quick coffee - and none of them are easy to do.,,Coffee Time
tt6255746,6.4,,Rob Bruce,Grant Baker,"In Distance Between Dreams, the most historic year in big wave surfing comes to life through the eyes of iconic surfer Ian Walsh, as he sets mind and body in motion to redefine the upper limits of what's considered rideable.",63.0,Distance Between Dreams
tt2933934,,,,,,,Kill of the Night
tt5679354,,,James Ashcroft,James Ashcroft,A group of aspiring actors must survive an audition for the worlds worst casting agent.,,The Mavens
tt1657339,5.3,,Charles Gozali,Charles Gozali,,,Demi Dewi
tt3891252,,,,,,,Dyl
tt2102339,,,Filippo De Palma,Filippo De Palma,,,Il metodo Enriquez
tt7966424,,91,Dimitri Luedemann,Manuela Magalhães,,,S I R E N
tt19383092,,,Chanél Muller,Chanél Muller,,,Sporadies Nomadies
tt12268902,,,,,,,Atm
tt2077801,,,,,,,My Roommate Kai
